# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 100.000000
nsample 10000
dataformat ascii

# Analog Inputs
aichannel 10
ailabel "Ch0 Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 984.279297
aicalzero -0.001000
aicalunits "uA"

aichannel 11
ailabel "Ch0 Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 0
do5 0
do6 1
do7 1

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.500000
aooffset 2.500000
aoduty 0.500000

# These meta parameters were added manually 
# to describe the conditions of the test
# Original record is on page 38 of logbook 3
meta float
    standoff_in 0.20
    fg_scfh 12.3
    fg_psig 7
    o2_scfh 22.9
    o2_psig 31.5
meta end

## End Configuration ##
#: Mon Apr  4 12:33:18 2022
1.124386e-01	7.378304e+00
-1.046290e-01	-3.012048e+00
-1.490665e-01	-6.756188e+00
-1.703220e-01	-8.314299e+00
-1.726907e-01	-8.918844e+00
-1.771755e-01	-9.085932e+00
-1.769229e-01	-9.061295e+00
-1.713642e-01	-8.935585e+00
-1.676058e-01	-8.777026e+00
-1.705431e-01	-8.594146e+00
-1.629947e-01	-8.407160e+00
-1.666583e-01	-8.210067e+00
-1.600890e-01	-8.021817e+00
-1.638790e-01	-7.831989e+00
-1.514668e-01	-7.630474e+00
-1.590784e-01	-7.456122e+00
-1.523512e-01	-7.249553e+00
-1.517511e-01	-7.051197e+00
-1.466662e-01	-6.856946e+00
-1.455924e-01	-6.661432e+00
-1.410760e-01	-6.469077e+00
-1.439501e-01	-6.272299e+00
-1.302745e-01	-6.072679e+00
-1.376966e-01	-5.882850e+00
-1.391494e-01	-5.687336e+00
-1.342540e-01	-5.485506e+00
-1.302114e-01	-5.288096e+00
-1.296429e-01	-5.092582e+00
-1.236421e-01	-4.905912e+00
-1.211786e-01	-4.701554e+00
-1.174834e-01	-4.512989e+00
-1.203574e-01	-4.303577e+00
-1.179887e-01	-4.116908e+00
-1.113247e-01	-3.917603e+00
-1.145146e-01	-3.721458e+00
-1.108509e-01	-3.525628e+00
-1.098403e-01	-3.331693e+00
-1.031762e-01	-3.138390e+00
-1.052291e-01	-2.941929e+00
-1.015971e-01	-2.747994e+00
-9.310119e-02	-2.551532e+00
-9.809133e-02	-2.355387e+00
-9.092195e-02	-2.163031e+00
-8.274192e-02	-1.970676e+00
-8.520541e-02	-1.773267e+00
-8.043635e-02	-1.583438e+00
-7.929936e-02	-1.383502e+00
-8.094168e-02	-1.181039e+00
-8.037318e-02	-9.826828e-01
-7.244582e-02	-7.761139e-01
-6.609760e-02	-5.948133e-01
-6.243396e-02	-4.090909e-01
-5.734907e-02	-2.053647e-01
-6.003364e-02	2.467931e-03
-6.764518e-02	1.882143e-01
-4.095742e-02	3.809103e-01
-3.505137e-02	5.786607e-01
-1.850180e-02	7.634594e-01
-9.405856e-03	9.621574e-01
6.954011e-03	1.150747e+00
1.614444e-02	1.342179e+00
3.784142e-02	1.542773e+00
4.731609e-02	1.740207e+00
5.568538e-02	1.937958e+00
6.102277e-02	2.136971e+00
6.898149e-02	2.327456e+00
6.977105e-02	2.534052e+00
7.409781e-02	2.728327e+00
7.722446e-02	2.925762e+00
7.861407e-02	3.118774e+00
8.151963e-02	3.323158e+00
8.268818e-02	3.513643e+00
9.298398e-02	3.714868e+00
8.417254e-02	3.910723e+00
8.597273e-02	4.105946e+00
9.105746e-02	4.301801e+00
9.033108e-02	4.491338e+00
9.513158e-02	4.685614e+00
9.532107e-02	4.876730e+00
9.535265e-02	5.074165e+00
1.013849e-01	5.272547e+00
1.030271e-01	5.464611e+00
1.022060e-01	5.651305e+00
1.125334e-01	5.853794e+00
1.030271e-01	6.046174e+00
1.078276e-01	6.239502e+00
1.069433e-01	6.429355e+00
1.054590e-01	6.623314e+00
1.126597e-01	6.818854e+00
1.154074e-01	7.015025e+00
1.214711e-01	7.221304e+00
1.129439e-01	7.426320e+00
1.138914e-01	7.630073e+00
1.119965e-01	7.821821e+00
1.176813e-01	8.022414e+00
1.147441e-01	8.213846e+00
1.208079e-01	8.413177e+00
1.224186e-01	8.605241e+00
1.261769e-01	8.811521e+00
1.202079e-01	9.002637e+00
1.244715e-01	9.199440e+00
1.261453e-01	9.277466e+00
1.254189e-01	9.304001e+00
1.166075e-01	9.199440e+00
1.254821e-01	9.038017e+00
1.179339e-01	8.850060e+00
